crop,sow_type,sow_date,sow_type_med,sow_type_cell,sow_no_cellrowhill,sow_no_seed_per,sow_no_germ_per,sow_to_germ_days,sow_no_thin_per,sow_heatmat,sow_heatmat_temp,sow_light_hrs,sow_light_type,sow_fert_date_1,sow_fert_type_1,sow_fert_dose_1,sow_fert_date_2,sow_fert_type_2,sow_fert_dose_2,sow_fert_date_3,sow_fert_type_3,sow_fert_dose_3,sow_fert_date_4,sow_fert_type_4,sow_fert_dose_4,transp_harden_date_srt,transp_harden_date_end,transp_date_1,transp_med_1,transp_no_int_1,transp_no_end_1,transp_date_2,transp_med_2,transp_no_int_2,transp_no_end_2,fert_code_1,fert_date_1,fert_amnt_per_1,fert_unit_1,fert_code_2,fert_date_2,fert_amnt_per_2,fert_unit_2,fert_code_3,fert_date_3,fert_amnt_per_3,fert_unit_3,path_code_1,path_date_1,path_no_1,path_ipm_type_1_1,path_ipm_date_1_1,path_ipm_type_1_2,path_ipm_date_1_2,path_ipm_type_1_3,path_ipm_date_1_3,path_code_2,path_date_2,path_no_2,path_ipm_type_2_1,path_ipm_date_2_1,path_ipm_type_2_2,path_ipm_date_2_2,path_ipm_type_2_3,path_ipm_date_2_3,notes
lettuce- gourmet blend,indoor seed,2023-03-12,soilless,32,20,8,8,2,,no,,16,45w led,2023-04-02,2-2-2,half,2023-04-09,2-2-2,half,2023-04-20,2-2-2,half,,,,2023-04-13,2023-04-22,2023-04-22,raised bed- frame,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kale- lacinato,indoor seed,2023-03-12,soilless,32,4,5,5,5,,no,,16,45w led,2023-04-02,2-2-2,half,2023-04-09,2-2-2,half,2023-04-20,2-2-2,half,2023-06-09,2-2-2,full,2023-05-31,2023-06-09,2023-04-22,4.5d,6,6,2023-06-10,raised bed- frame,6,6,,,,,,,,,,,,,cabbage worms,2023-06-18,6,manual,A/N,,,,,,,,,,,,,,
basil- sweet,indoor seed,2023-03-12,soilless,32,4,5,5,6,,no,,16,45w led,2023-04-02,2-2-2,half,2023-04-09,2-2-2,half,2023-04-20,2-2-2,half,2023-06-09,2-2-2,full,2023-05-31,2023-06-09,2023-05-07,3.25,6,6,2023-06-10,raised bed- frame,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sage- broad leaf,indoor seed,2023-03-12,soilless,32,4,5,5,8,,no,,16,45w led,2023-04-02,2-2-2,half,2023-04-09,2-2-2,half,2023-04-20,2-2-2,half,,,,2023-04-13,2023-04-22,2023-04-22,raised bed- frame,6,0,2023-06-14,raised bed- frame,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomato- roma,indoor seed,2023-03-26,soilless,32,8,4,3.5,5,,yes,75,16,45w led,2023-04-22,2-2-2,half,2023-05-04,2-2-2,half,2023-05-18,2-2-2,half,2023-05-28,2-2-2,full,2023-05-22,2023-05-31,2023-05-07,4.5,18,18,2023-05-31,raised bed- ground,18,18,tomato tone,2023-07-07,0.33,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomato- amish,indoor seed,2023-03-26,soilless,32,4,4,3.75,5,,yes,75,16,45w led,2023-04-22,2-2-2,half,2023-05-04,2-2-2,half,2023-05-18,2-2-2,half,2023-05-28,2-2-2,full,2023-05-22,2023-05-31,2023-05-07,4.5,12,12,2023-05-31,raised bed- ground,12,12,tomato tone,2023-07-06,0.33,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,
eggplant- black beauty,indoor seed,2023-03-26,soilless,32,4,4,2.75,6,,yes,75,16,45w led,2023-04-22,2-2-2,half,2023-05-04,2-2-2,half,2023-05-21,2-2-2,half,2023-06-09,2-2-2,full,2023-05-31,2023-06-09,2023-05-07,3.25,9,9,2023-06-10,raised bed- ground,9,9,garden tone,2023-07-06,0.25,cup,,,,,,,,,flea beetles,2023-06-18,9,manual,A/N,,,,,,,,,,,,,,
pepper- sweet- ca wonder,indoor seed,2023-03-26,soilless,32,8,4,3.125,9,,yes,75,16,45w led,2023-04-22,2-2-2,half,2023-05-04,2-2-2,half,2023-05-21,2-2-2,half,2023-06-09,2-2-2,full,2023-05-31,2023-06-09,2023-05-07,3.25,19,18,2023-06-10,raised bed- ground,18,18,garden tone,2023-07-06,0.25,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,
pepper- anaheim,indoor seed,2023-03-26,soilless,32,4,4,2.75,7,,yes,75,16,45w led,2023-04-22,2-2-2,half,2023-05-04,2-2-2,half,2023-05-21,2-2-2,half,2023-06-09,2-2-2,full,2023-05-31,2023-06-09,2023-05-07,3.25,8,8,2023-06-10,raised bed- ground,8,8,garden tone,2023-07-06,0.25,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,
pepper- jalapeno- early,indoor seed,2023-03-26,soilless,32,4,4,3,7,,yes,75,16,45w led,2023-04-22,2-2-2,half,2023-05-04,2-2-2,half,2023-05-21,2-2-2,half,2023-06-09,2-2-2,full,2023-05-31,2023-06-09,2023-05-07,3.25,10,10,2023-06-10,raised bed- ground,10,10,garden tone,2023-07-06,0.25,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,
dill- hera,outdoor seed,2023-04-22,raised bed- frame,,1,25,10,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arrugula- garden tangy,outdoor seed,2023-04-22,raised bed- frame,,1,25,20,7,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dill- hera,outdoor seed,2023-05-20,raised bed- frame,,1,40,10,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arrugula- garden tangy,outdoor seed,2023-05-20,raised bed- frame,,1,40,35,9,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cilantro,outdoor seed,2023-05-20,raised bed- frame,,1,30,27,21,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broadcast corner quadrant of raised bed
