crop,sow_type,sow_date,sow_med,sow_cell,sow_no_cellrowhill,sow_no_seed_per,sow_no_germ_per,sow_to_germ25_days,sow_no_thin_per,sow_heatmat,sow_heatmat_temp,sow_light_hrs,sow_light_type,sow_fert_date_1,sow_fert_type_npk_1,sow_fert_type_name_1,sow_fert_dose_1,sow_fert_date_2,sow_fert_type_npk_2,sow_fert_type_name_2,sow_fert_dose_2,sow_fert_date_3,sow_fert_type_npk_3,sow_fert_type_name_3,sow_fert_dose_3,sow_fert_date_4,sow_fert_type_npk_4,sow_fert_type_name_4,sow_fert_dose_4,transp_harden_date_srt,transp_harden_date_end,transp_date_1,transp_med_1,transp_no_srt_1,transp_no_end_1,transp_date_2,transp_med_2,transp_no_srt_2,transp_no_end_2,fert_type_npk_1,fert_type_name_1,fert_date_1,fert_amnt_per_1,fert_unit_1,fert_type_npk_2,fert_type_name_2,fert_date_2,fert_amnt_per_2,fert_unit_2,fert_type_npk_3,fert_type_name_3,fert_date_3,fert_amnt_per_3,fert_unit_3,path_type_1,path_date_1,path_ipm_type_1_1,path_ipm_date_1_1,path_ipm_type_1_2,path_ipm_date_1_2,path_ipm_type_1_3,path_ipm_date_1_3,path_type_2,path_date_2,path_ipm_type_2_1,path_ipm_date_2_1,path_ipm_type_2_2,path_ipm_date_2_2,path_ipm_type_2_3,path_ipm_date_2_3,path_type_3,path_date_3,path_ipm_type_3_1,path_ipm_date_3_1,path_ipm_type_3_2,path_ipm_date_3_2,path_ipm_type_3_3,path_ipm_date_3_3,harvest_date_1,harvest_amnt_1,harvest_unit_1,harvest_date_2,harvest_amnt_2,harvest_unit_2,harvest_date_3,harvest_amnt_3,harvest_unit_3,harvest_date_4,harvest_amnt_4,harvest_unit_4,harvest_date_5,harvest_amnt_5,harvest_unit_5,harvest_date_6,harvest_amnt_6,harvest_unit_6,harvest_date_7,harvest_amnt_7,harvest_unit_7,harvest_date_8,harvest_amnt_8,harvest_unit_8,harvest_date_9,harvest_amnt_9,harvest_unit_9,harvest_date_10,harvest_amnt_10,harvest_unit_10,harvest_date_11,harvest_amnt_11,harvest_unit_11,harvest_date_12,harvest_amnt_12,harvest_unit_12,harvest_date_13,harvest_amnt_13,harvest_unit_13,harvest_date_14,harvest_amnt_14,harvest_unit_14,harvest_date_15,harvest_amnt_15,harvest_unit_15,notes
lettuce- gourmet blend,indoor seed,2023-03-12,soilless,32,20,8,8,2,,no,,16,45w led,2023-04-02,2-2-2,Espoma- Organic Grow!,half,2023-04-09,2-2-2,Espoma- Organic Grow!,half,2023-04-20,2-2-2,Espoma- Organic Grow!,half,,,,,2023-04-13,2023-04-22,2023-04-22,raised bed- frame,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kale- lacinato,indoor seed,2023-03-12,soilless,32,4,5,5,5,,no,,16,45w led,2023-04-02,2-2-2,Espoma- Organic Grow!,half,2023-04-09,2-2-2,Espoma- Organic Grow!,half,2023-04-20,2-2-2,Espoma- Organic Grow!,half,2023-06-09,2-2-2,Espoma- Organic Grow!,full,2023-05-31,2023-06-09,2023-04-22,4.5d,6,6,2023-06-10,raised bed- frame,6,6,,,,,,,,,,,,,,,,cabbage worms,2023-06-18,manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basil- sweet,indoor seed,2023-03-12,soilless,32,4,5,5,6,,no,,16,45w led,2023-04-02,2-2-2,Espoma- Organic Grow!,half,2023-04-09,2-2-2,Espoma- Organic Grow!,half,2023-04-20,2-2-2,Espoma- Organic Grow!,half,2023-06-09,2-2-2,Espoma- Organic Grow!,full,2023-05-31,2023-06-09,2023-05-07,3.25,6,6,2023-06-10,raised bed- frame,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sage- broad leaf,indoor seed,2023-03-12,soilless,32,4,5,5,8,,no,,16,45w led,2023-04-02,2-2-2,Espoma- Organic Grow!,half,2023-04-09,2-2-2,Espoma- Organic Grow!,half,2023-04-20,2-2-2,Espoma- Organic Grow!,half,,,,,2023-04-13,2023-04-22,2023-04-22,raised bed- frame,6,0,2023-06-14,raised bed- frame,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tomato- roma,indoor seed,2023-03-26,soilless,32,8,4,3.5,5,,yes,75,16,45w led,2023-04-22,2-2-2,Espoma- Organic Grow!,half,2023-05-04,2-2-2,Espoma- Organic Grow!,half,2023-05-18,2-2-2,Espoma- Organic Grow!,half,2023-05-28,2-2-2,Espoma- Organic Grow!,full,2023-05-22,2023-05-31,2023-05-07,4.5,18,18,2023-05-31,raised bed- ground,18,18,3-4-6,Espoma- Organic Tomato-tone,2023-07-07,0.33,cup,3-4-6,Espoma- Organic Tomato-tone,2023-07-27,0.33,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-12,20,ounce,2023-08-16,45,ounce,2023-08-19,21,pound,2023-08-21,16.25,pound,2023-08-25,125,ounce,2023-08-26,326,ounce,2023-08-29,11,pound,,,,,,,,,,,,,,,,,,,,,,,,,
tomato- amish,indoor seed,2023-03-26,soilless,32,4,4,3.75,5,,yes,75,16,45w led,2023-04-22,2-2-2,Espoma- Organic Grow!,half,2023-05-04,2-2-2,Espoma- Organic Grow!,half,2023-05-18,2-2-2,Espoma- Organic Grow!,half,2023-05-28,2-2-2,Espoma- Organic Grow!,full,2023-05-22,2023-05-31,2023-05-07,4.5,12,12,2023-05-31,raised bed- ground,12,12,3-4-6,Espoma- Organic Tomato-tone,2023-07-06,0.33,cup,3-4-6,Espoma- Organic Tomato-tone,2023-07-27,0.33,cup,,,,,,cut/horn worms,2023-07-14,manual,,,,,,cut/horn worms,2023-07-25,manual,,,,,,cut/horn worms,2023-08-17,manual,,,,,,2023-07-27,0.25,pound,2023-08-03,4,pound,2023-08-05,100,ounce,2023-08-08,41,ounce,2023-08-10,4,pound,2023-08-12,3,pound,2023-08-16,4,pound,2023-08-21,13,pound,2023-08-25,115,ounce,2023-08-26,215,ounce,2023-08-29,11,pound,2023-08-30,166,ounce,,,,,,,,,,one small horn worm found on Amish tomatoes 7/14/23; two medium-sized horn worms found on Amish tomatoes on 7/24/23 & 7/26/23; one medium-sized horn worm (with parasitic wasp eggs) found on 8/23/23 
eggplant- black beauty,indoor seed,2023-03-26,soilless,32,4,4,2.75,6,,yes,75,16,45w led,2023-04-22,2-2-2,Espoma- Organic Grow!,half,2023-05-04,2-2-2,Espoma- Organic Grow!,half,2023-05-21,2-2-2,Espoma- Organic Grow!,half,2023-06-09,2-2-2,Espoma- Organic Grow!,full,2023-05-31,2023-06-09,2023-05-07,3.25,9,9,2023-06-10,raised bed- ground,9,9,3-4-4,Espoma- Organic Garden-tone,2023-07-06,0.25,cup,3-4-6,Espoma- Organic Tomato-tone,2023-07-27,0.25,cup,,,,,,flea beetles,2023-06-18,manual,,,,,,japanese beetles,2023-07-14,manual,,,,,,flea beetles,2023-07-25,manual,,,,,,2023-08-10,1,pound,2023-08-12,118,ounce,2023-08-19,4.75,pound,2023-08-23,26,ounce,2023-08-26,4.75,pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"flea beetles were light when first spotted in mid-June but were heavy in late July; Japanese beetles were physically flicked off, period of infestation small, few after the first few weeks after first noticing"
pepper- sweet- ca wonder,indoor seed,2023-03-26,soilless,32,8,4,3.125,9,,yes,75,16,45w led,2023-04-22,2-2-2,Espoma- Organic Grow!,half,2023-05-04,2-2-2,Espoma- Organic Grow!,half,2023-05-21,2-2-2,Espoma- Organic Grow!,half,2023-06-09,2-2-2,Espoma- Organic Grow!,full,2023-05-31,2023-06-09,2023-05-07,3.25,19,18,2023-06-10,raised bed- ground,18,18,3-4-4,Espoma- Organic Garden-tone,2023-07-06,0.25,cup,3-4-6,Espoma- Organic Tomato-tone,2023-07-27,0.25,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-12,9,pound,2023-08-26,6.25,pound,2023-08-29,36,ounce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pepper- anaheim,indoor seed,2023-03-26,soilless,32,4,4,2.75,7,,yes,75,16,45w led,2023-04-22,2-2-2,Espoma- Organic Grow!,half,2023-05-04,2-2-2,Espoma- Organic Grow!,half,2023-05-21,2-2-2,Espoma- Organic Grow!,half,2023-06-09,2-2-2,Espoma- Organic Grow!,full,2023-05-31,2023-06-09,2023-05-07,3.25,8,8,2023-06-10,raised bed- ground,8,8,3-4-4,Espoma- Organic Garden-tone,2023-07-06,0.25,cup,3-4-6,Espoma- Organic Tomato-tone,2023-07-27,0.25,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-29,1,pound,2023-08-01,1,pound,2023-08-05,28,ounce,2023-08-12,1,pound,2023-08-19,21,ounce,2023-08-26,38,ounce,2023-08-29,50,ounce,,,,,,,,,,,,,,,,,,,,,,,,,
pepper- jalapeno- early,indoor seed,2023-03-26,soilless,32,4,4,3,7,,yes,75,16,45w led,2023-04-22,2-2-2,Espoma- Organic Grow!,half,2023-05-04,2-2-2,Espoma- Organic Grow!,half,2023-05-21,2-2-2,Espoma- Organic Grow!,half,2023-06-09,2-2-2,Espoma- Organic Grow!,full,2023-05-31,2023-06-09,2023-05-07,3.25,10,10,2023-06-10,raised bed- ground,10,10,3-4-4,Espoma- Organic Garden-tone,2023-07-06,0.25,cup,3-4-6,Espoma- Organic Tomato-tone,2023-07-27,0.25,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-01,1,pound,2023-08-05,2.25,pound,2023-08-12,2,pound,2023-08-19,10,ounce,2023-08-26,71,ounce,2023-08-29,25,ounce,,,,,,,,,,,,,,,,,,,,,,,,,,,,
