sale_date,sale_location,sale_location_stall_no,sale_location_stall_spec,sale_crop,sale_amnt,sale_unit,sale_value_usd,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",bean- fin de bagnol,2,pound,5,,TOTAL SALES 2023:,188
2023-08-05,New Carlisle Farmers Market,,"outside, east",bean- fin de bagnol,2,pound,6,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",pepper- sweet banana,4,unit,1,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",pepper- anaheim,7,unit,2,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",tomato- amish,1,unit,1,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",pepper- sweet- ca wonder,2,unit,1,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",pepper- jalapeno- early,6,unit,1,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",cilantro,2,bunch,4,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",pepper- sweet- ca wonder,4,unit,2,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",pepper- jalapeno- early,10,unit,2,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",cilantro,1,bunch,2,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",pepper- sweet- ca wonder,2,unit,1,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",tomato- amish,1,pound,3,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",pepper- sweet banana,8,unit,2,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",pepper- jalapeno- early,5,unit,1,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",cilantro,1,bunch,2,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",pepper- sweet- ca wonder,2,unit,1,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",cilantro,1,bunch,2,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",pepper- jalapeno- early,5,unit,1,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",pepper- anaheim,3,unit,1,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",pepper- sweet- ca wonder,2,unit,1,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",tomato- amish,2,unit,2,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",tomato- amish,1,unit,1,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",pepper- sweet- ca wonder,4,unit,2,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",pepper- anaheim,4,unit,1,,,
2023-08-05,New Carlisle Farmers Market,,"outside, east",pepper- jalapeno- early,1,unit,1,,,
2023-08-12,New Carlisle Farmers Market,8,"outside, north",pepper- sweet- ca wonder,2,unit,1,,,
2023-08-12,New Carlisle Farmers Market,8,"outside, north",carrot- touchon,3,unit,1,,,
2023-08-12,New Carlisle Farmers Market,8,"outside, north",eggplant- black beauty,1,unit,4,,,
2023-08-12,New Carlisle Farmers Market,8,"outside, north",pepper- anaheim,3,unit,1,,,
