year,order_date,crop,pkg_units_ordered,number_seeds,weight_amt,weight_unit,organic,source,notes
2023,2023-02-27,kale- lacinato,1,500,,,0,www.burpee.com,
2023,2023-02-27,pepper- sweet- ca wonder,1,300,,,1,www.burpee.com,
2023,2023-02-27,pumpkin- ct field,1,50,,,0,www.burpee.com,
2023,2023-02-27,tomato- roma,1,250,,,1,www.burpee.com,
2023,2023-02-27,arrugula- garden tangy,1,800,,,0,www.burpee.com,
2023,2023-02-27,eggplant- black beauty,1,50,,,1,www.burpee.com,
2023,2023-02-27,sunflower- mammoth,1,150,,,1,www.burpee.com,
2023,2023-02-27,pepper- jalapeno- early,1,125,,,1,www.burpee.com,
2023,2023-02-27,cilantro,1,500,,,1,www.burpee.com,
2023,2023-02-27,sage- broad leaf,1,100,,,1,www.burpee.com,
2023,2023-02-27,dill- hera,1,400,,,1,www.burpee.com,
2023,2023-02-27,basil- sweet,1,300,,,1,www.burpee.com,
2023,2023-02-27,carrot- touchon,1,3500,,,0,www.burpee.com,
2023,2023-02-27,bean- fin de bagnol,1,,1,ounce,0,www.burpee.com,
2023,2023-02-27,sweet corn- ornamental- glas gm,1,200,,,0,www.burpee.com,
2023,2023-02-27,sweet corn- country gentleman,1,200,,,0,www.burpee.com,
2023,2023-02-27,tomato- amish,1,25,,,0,www.burpee.com,
2023,2023-02-27,lettuce- gourmet blend,1,1000,,,0,www.burpee.com,
2023,2023-02-27,pepper- anaheim,1,125,,,0,www.burpee.com,
2023,2023-06-01,buckwheat,1,,1,pound,0,https://hudsonvalleyseed.com/,
2023,2023-06-01,white clover,1,,1,pound,0,https://hudsonvalleyseed.com/,
2023,2023-06-01,field peas and oats,1,,5,pound,0,https://hudsonvalleyseed.com/,
2023,2023-08-12,German Extra Hardy Hardneck Garlic,1,,1,pound,0,https://hudsonvalleyseed.com/,
